Entity,superregion2,iso3,Fruits,Non-starchy vegetables,starchy vegetables,Refined grains,Whole grains,Total processed meats,Unprocessed red meats,Eggs,Total Dairy,Sugar-sweetened beverages,Fruit juices,BMI,Diabetes prevalence (% of population ages 20 to 79)
Slovenia,FSU,SVN,76.58347701,145.3602903,221.7600074,155.237736,55.98314219,35.63450496,55.49629981,40.56318735,355.8057961,108.6665741,62.93816456,26.6,5.8
Solomon Islands,Asia,SLB,59.99944336,36.16087279,46.22008045,393.4871607,11.32418474,27.53359343,49.23674607,12.13636389,37.54580253,154.3267102,10.69675753,26.3,19.8
South Africa,SSA,ZAF,32.66785189,180.3068099,94.63912968,226.7770716,68.55760917,17.47240354,147.1515044,22.93440486,35.68324222,281.8372524,2.775289454,27.3,10.8
South Korea,Asia,KOR,96.418544,101.6417269,19.45272802,415.7971432,16.54071944,2.059575609,42.34707787,19.83755521,328.9298856,38.84672276,7.805378202,23.8,6.8
South Sudan,SSA,SSD,66.12898221,115.0563785,75.30398259,332.3305747,35.37352999,5.714272819,20.34027835,6.857914873,117.9306314,206.2918548,11.76589287,25.2,6.5
Spain,HIC,ESP,64.32952368,150.7500552,87.11893259,114.7120736,22.01501529,32.22174116,55.10549145,18.30098981,634.9489825,115.8855567,19.90543213,25.9,10.3
Sri Lanka,SAARC,LKA,79.24246061,167.0124388,45.63533506,590.8685579,32.68421185,6.37242905,43.17924853,10.56250496,66.63679908,263.8888958,4.647744891,23.1,11.3
Sudan,SSA,SDN,82.44298153,215.5249109,77.40587624,328.4724948,36.26359559,8.357411883,16.82467797,8.037523322,30.5937111,183.5006359,30.92006087,25.2,18.9
Suriname,LAC,SUR,103.3437029,129.6913123,77.8678946,272.5418851,39.61794923,45.85868501,71.50855379,19.24278493,150.1598527,335.4962517,28.03963712,26.5,12.7
Sweden,HIC,SWE,114.9668235,36.69334449,94.76316456,25.00307718,25.01824414,32.33010435,69.63747147,21.75322569,59.79813354,81.74513841,62.75748519,26,5
Switzerland,HIC,CHE,137.9643035,148.4532698,90.37089009,77.45010142,44.57012206,20.64252402,47.84278443,15.87895761,244.1726044,111.7809156,40.11885362,25.2,4.6
Syria,MENA,SYR,101.6279203,175.6165522,120.0251879,451.525472,14.15727585,17.17775094,37.48398981,29.53066778,29.27283026,143.4019636,21.82583563,28.3,14.9
Taiwan,Asia,TWN,139.6232528,53.82828338,42.26465506,346.525874,16.97163753,18.19388787,72.26559754,32.86930509,46.07634382,188.6819409,7.650742545,23.8,10.6
Tajikistan,FSU,TJK,90.68673674,107.0681887,168.0422426,181.1340357,46.38010488,79.21597587,50.97441807,18.98881279,222.9953807,162.2700239,16.98513086,26.1,6.6
Tanzania,SSA,TZA,65.78399331,140.7773644,54.43542088,348.8224838,135.374648,3.840558003,27.8910717,3.869990277,60.41603861,213.1757928,13.44005491,23.2,12.3
Thailand,Asia,THA,97.15498098,139.4233857,28.69490907,416.5422213,18.0651572,11.53649539,38.10890437,31.48591777,126.8080485,203.5871787,6.924563337,24.4,9.7
Togo,SSA,TGO,54.76370986,86.46984246,56.82908323,166.6832118,61.65596668,22.76375063,13.22146021,5.550611469,74.47241006,902.1347989,5.996958986,23.6,2.1
Tonga,Asia,TON,130.4153859,198.0427046,38.46188789,563.4880215,11.88520738,15.45827624,35.17901877,25.15708194,138.8723561,260.0836584,9.392535137,32.2,15
Trinidad and Tobago,LAC,TTO,68.48404832,112.8982418,78.02074748,103.2941241,27.99610647,40.48828364,65.91536134,14.58233343,232.4855521,403.2143024,27.63708977,27.6,12.7
Tunisia,MENA,TUN,63.95756313,281.0334349,131.8151081,186.667754,1.508749238,0.920288868,38.28011427,30.86779931,320.2074977,280.919179,23.45763867,26.3,9.6
Turkey,MENA,TUR,79.76852796,169.2699613,62.38764108,161.8777839,2.599167905,4.769978348,50.96077846,16.43344094,58.55893618,112.9930859,27.84511457,27.9,14.5
Turkmenistan,FSU,TKM,68.55083405,110.6675133,146.0082286,153.441533,112.8998149,69.41167375,85.99912616,19.63570486,49.13262378,21.62382181,38.47354705,26.6,6.7
Uganda,SSA,UGA,55.5946998,183.3563951,29.87322254,221.0865557,27.31734338,5.156429231,11.47919411,4.095656482,239.3308817,290.0662997,11.92125273,22.5,4.6
Ukraine,FSU,UKR,94.1373979,162.672011,218.0349884,128.4111137,67.04741546,52.20757521,39.04220131,31.03223523,202.1811006,54.25112185,34.8686961,26.6,5.6
United Arab Emirates,MENA,ARE,107.5778198,128.5983773,240.0404127,337.6422986,37.1762837,38.36956523,29.41857219,29.83012991,207.8463203,132.651374,24.49347538,28.4,16.4
United Kingdom,HIC,GBR,91.30693281,214.7205476,145.427428,110.7273572,46.20934616,33.51497128,41.50763436,18.40135697,219.5761024,161.1332372,36.51830476,27.1,6.3
United States,HIC,USA,86.78347803,104.2976827,43.106105,88.79542074,19.56795183,24.0686463,34.48911661,19.19479715,197.1093147,179.4630074,85.96569484,28.9,10.7
Uruguay,LAC,URY,96.98146899,90.97754611,76.65949417,268.2709779,37.92093655,51.20134267,74.27177391,32.98898813,233.5790652,399.6962027,35.14307196,27.4,9
Uzbekistan,FSU,UZB,83.61145868,177.0835934,390.1183273,176.8336248,52.35971608,49.09829559,103.9979806,35.76990752,160.1792458,124.2669873,14.5028023,26.9,7
Vanuatu,Asia,VUT,41.27762421,71.36622175,47.34293361,254.5771609,24.32353063,8.824031855,47.71206191,23.89041492,146.7647977,102.11074,9.781795077,26.2,15.6
Venezuela,LAC,VEN,108.0852961,336.3809526,93.36999787,339.6747871,28.00225163,35.56850751,44.75655687,16.46340943,49.27760655,190.6113273,28.97258921,26.7,9.6
Vietnam,Asia,VNM,82.61372907,58.53013803,71.4084588,322.1589704,26.32461017,10.39465384,53.15156915,45.3576082,66.31106867,68.24685199,8.302008626,21.9,6.1
Yemen,MENA,YEM,39.33662605,131.8010803,117.6615791,241.9145728,20.34655587,19.71558376,21.68306089,6.868357897,114.8372706,605.1878787,18.84159573,23.8,5.4
Zambia,SSA,ZMB,51.18560651,195.7585199,43.57676531,238.4566999,55.69952463,13.00282875,43.62032131,8.775032804,83.21582272,125.1765232,16.7393163,22.6,11.9
Zimbabwe,SSA,ZWE,83.37289762,141.2352446,78.0495933,195.0977146,152.403583,8.067673774,28.40073999,10.94803772,83.21582272,308.4084159,25.94964612,23.8,2.1
