Entity,superregion2,iso3,Fruits,Non-starchy vegetables,starchy vegetables,Refined grains,Whole grains,Total processed meats,Unprocessed red meats,Eggs,Total Dairy,Sugar-sweetened beverages,Fruit juices,BMI,Diabetes prevalence (% of population ages 20 to 79)
Colombia,LAC,COL,100.5466686,141.5884037,143.9450158,243.7082899,29.16536848,76.94490371,98.38637196,31.4423268,70.5489753,722.8089101,55.03345952,26.2,8.3
Comoros,SSA,COM,85.33812713,96.49149449,86.31661614,197.4754377,36.15954892,6.083188899,24.30994949,10.42805156,79.06845747,212.2897764,23.2857257,24.5,11.7
Congo,SSA,COG,89.74626939,97.00363306,80.06904812,184.2468758,71.58842285,28.60962469,22.66785053,0.993056516,88.1379031,260.2340289,22.5039751,23.2,5.5
Costa Rica,LAC,CRI,130.8427716,194.7825895,78.58252383,234.8997455,36.85438236,46.09126673,76.12331698,31.75048163,171.3823227,220.9250805,27.07040316,27.3,8.8
Cote d'Ivoire,SSA,CIV,60.69143637,166.3844195,60.75120198,176.0047774,36.62893217,5.558567453,13.1924273,5.253462055,47.51701905,166.453995,14.30309743,23.6,2.1
Croatia,FSU,HRV,59.54896707,115.1854098,124.6249538,172.8934387,58.08460984,112.2034833,252.3183443,29.20709952,69.32700043,79.30822086,23.70172547,27.4,4.8
Cuba,LAC,CUB,130.4969131,118.49685,75.21925072,225.5182357,35.17372677,40.87556589,146.4248835,35.11274476,163.7152041,348.4461254,28.07937801,25.6,7.6
Cyprus,HIC,CYP,59.3767124,105.5921977,111.6586611,92.05862553,112.8234758,9.758993463,71.68752434,15.36071602,217.413325,113.890459,43.54960457,26.8,8.6
Czechia,FSU,CZE,74.11211465,193.2223505,108.1557666,16.96466711,35.43471484,41.71429918,64.91842835,25.23800683,240.6451419,53.92361158,22.03213589,27.1,7.1
Democratic Republic of Congo,SSA,COD,94.47493424,106.3574022,81.43328315,127.7901355,12.16528,30.4155478,11.68429075,1.071908456,74.63107421,50.97473169,13.95722023,22,5.8
Denmark,HIC,DNK,90.1526175,103.0577987,69.40900426,16.32136768,44.70693864,36.05428953,53.78862701,14.80044092,115.5242644,69.93700425,42.56533209,25.3,5.3
Djibouti,SSA,DJI,146.1900414,121.0105415,610.2717045,233.9794537,79.69563758,22.53148263,21.99283382,29.82767385,164.4615958,594.2854215,22.26367078,24,7.4
Dominica,LAC,DMA,106.2379459,103.544792,112.1786982,185.2453176,30.25278158,12.40504653,23.80533392,16.56456648,277.0949592,191.1765748,20.64680695,27,11.7
Dominican Republic,LAC,DOM,142.833555,195.1269176,102.2147101,290.1485518,16.52036789,36.39342255,49.72806968,19.93803766,222.4659204,258.662257,54.0264018,26.5,10.5
East Timor,Asia,TLS,52.02969526,108.5703116,71.77364062,229.7818588,18.978666,30.75802238,20.13568832,12.00835663,81.27781719,712.9033735,13.50211376,21.3,8.6
Ecuador,LAC,ECU,25.99449715,147.6646195,66.35631984,194.1279077,30.65994761,4.106584596,52.69423624,17.25598957,71.74579994,489.0309463,59.16050222,27.3,4.4
Egypt,MENA,EGY,88.42144575,69.32690267,134.8989961,211.0030223,22.07197329,7.358138609,30.43879566,21.07843948,61.76720849,112.4656339,18.52356873,29.6,20.9
El Salvador,LAC,SLV,123.9948448,103.3841763,121.7051874,259.230264,23.70864023,49.19905654,49.42483974,20.56185593,232.2338994,342.3672704,27.55626516,27.7,6.3
Equatorial Guinea,SSA,GNQ,91.03262623,293.3242626,187.4092354,306.9139849,39.20140418,4.859364688,26.4118802,3.710021715,223.1904562,196.0602221,18.58594975,24,5.5
Eritrea,SSA,ERI,57.34239978,88.84519322,79.78075715,348.5925978,36.79861789,5.323168567,23.82586222,8.659124925,320.3850239,257.1055373,12.87876535,20.7,6.5
Estonia,FSU,EST,105.2058697,124.9812131,131.0932871,145.6662338,107.3826366,88.02808509,75.47462217,35.68337285,54.2243392,53.20726445,126.0859607,26.4,6.5
Eswatini,SSA,SWZ,92.66015175,210.3744788,76.26331389,422.3620109,0.052145885,3.1557363,20.38597542,2.562692528,62.35467607,294.2396379,19.93289104,26.8,4.6
Ethiopia,SSA,ETH,38.6011194,155.4261648,89.25818461,324.9953314,177.0689713,24.58593797,10.47807957,6.548928809,431.9565601,194.7709974,3.875807998,20.6,5
Fiji,Asia,FJI,109.3447165,138.34646,46.09160553,349.4577685,49.3648723,12.94635409,21.59124811,46.50982344,296.3891753,146.2510581,12.08798481,27.7,17.7
Finland,HIC,FIN,150.2402926,122.2074634,60.69529792,91.93898176,57.23995244,57.99748473,60.85487738,19.99364959,59.7702248,57.4482069,41.92083645,25.9,6.1
France,HIC,FRA,150.8504403,117.4299234,35.02587649,135.5673001,33.43872828,31.11712106,48.09112351,11.233531,32.53016138,105.316546,17.18296648,25,5.3
Gabon,SSA,GAB,69.85451409,87.66372446,108.1240645,162.1286766,50.20012545,7.944674861,32.39628167,11.98552627,294.8927517,194.4627951,22.85575048,25.2,5.5
Gambia,SSA,GMB,30.72451079,137.445115,17.76197048,162.7194888,62.32303407,35.45578588,6.905065576,7.410786809,61.22511814,156.6256417,14.24251361,24,1.9
Georgia,FSU,GEO,71.83418127,20.2314497,137.4811175,396.3779363,43.4975794,66.83383883,15.20650103,21.41657617,33.1235462,72.23620614,36.30045912,27.6,5.7
Germany,HIC,DEU,140.8127595,48.07399019,94.69921099,224.1597856,75.47350617,61.9345545,47.65500944,23.46249788,61.37754424,101.9109394,35.07413663,26.6,6.9
Ghana,SSA,GHA,87.9424544,138.1292972,33.87705868,217.5898177,11.00130555,2.625983688,14.58236744,11.77139892,34.06776728,208.478559,11.93288661,23.9,2.6
Greece,HIC,GRC,77.04481125,147.326527,93.83154987,21.24815501,34.26299,5.496068094,77.46769362,15.86139256,103.6691595,74.76228039,15.55767675,27.1,6.4
Grenada,LAC,GRD,121.4637868,91.27290131,75.67160585,247.5645256,23.12838172,9.824619264,23.53613704,29.91218076,83.11068509,211.8807072,23.44976223,27,12.6
Guatemala,LAC,GTM,75.62632813,252.2790454,65.44134532,304.4036654,22.96206735,42.38140135,60.1928899,25.11557541,157.2189429,258.0630606,17.85664959,26.6,13.1
Guinea,SSA,GIN,22.01326373,92.36276858,310.3106679,154.0213545,40.05053744,17.76170598,13.55226627,4.042417108,18.2535897,59.42395952,6.3370753,22.9,2.1
Guinea-Bissau,SSA,GNB,67.64745433,145.0740916,373.5010759,313.1214256,18.28518438,5.078376991,21.453554,5.231301911,51.84665937,199.7871989,15.19611561,23.4,2.1
Guyana,LAC,GUY,202.8099233,29.4962778,79.76238689,266.4183068,4.776087893,71.03845379,46.08582401,22.96968319,87.09860944,289.6285153,21.86532242,26.4,11.7
Haiti,LAC,HTI,69.96613824,480.8424199,102.8102376,257.6536848,25.65982262,17.76219829,16.13738921,4.902141412,170.6039983,114.4431504,21.15054952,25.3,8.9
Honduras,LAC,HND,88.83178087,80.05295278,77.39740834,238.7454637,25.02633176,58.28640113,31.75893799,26.12601541,347.3324257,350.7323889,26.04447518,26.8,5.1
Hungary,FSU,HUN,59.96207998,62.11959747,54.15938563,48.03649649,44.68694392,12.13477536,21.68484086,25.67706092,45.25685672,73.6365344,13.69154316,27.3,7
Iceland,HIC,ISL,76.08129556,160.4630539,128.7331923,98.29084176,74.59464893,24.19842405,59.64512852,19.09270585,370.3430994,138.8013715,45.09489349,26.2,5.5
India,SAARC,IND,35.7867373,167.8131168,56.48020419,302.3881754,121.8493712,2.90899122,3.381259767,4.195337976,591.4604182,8.024515651,2.366029565,21.8,9.6
Indonesia,Asia,IDN,67.03697636,116.5843405,65.10990849,272.5721847,29.55672495,37.12337162,25.60848161,27.53042965,99.2768288,40.98659595,7.856434895,23.1,10.6
Iran,MENA,IRN,168.5904676,227.3344869,37.2080247,458.2620441,51.61423114,6.609457056,16.266049,14.39845875,160.9333548,106.9312525,4.82938543,26.1,9.1
Iraq,MENA,IRQ,102.9316185,115.9517951,78.5128355,353.6584538,9.381013783,38.64337673,54.11350823,106.1377852,419.4445135,212.3388625,26.73615104,28.8,10.7
Ireland,HIC,IRL,78.41567735,69.34033337,127.3895089,53.60858875,18.86849079,35.17411976,36.59400857,15.85990721,120.779071,119.4681014,28.98514164,27.5,3
Israel,MENA,ISR,133.9172492,83.34427855,186.4955795,220.7213848,52.87039075,89.94809828,131.5184474,60.86270711,138.4852157,174.3705945,23.14254268,27.3,8.5
Italy,HIC,ITA,199.4181734,149.4391665,50.01425509,344.2685637,9.216768281,20.27248994,52.83380726,13.80860031,154.8717811,57.08451659,13.75850028,25.6,6.4
Jamaica,LAC,JAM,176.667558,148.8582858,62.51330654,247.6378785,21.95057048,13.66236628,12.34259765,26.59973382,169.1017768,331.881564,21.35663066,27.8,11.1
Japan,Asia,JPN,108.9284363,117.069028,29.420543,409.38519,6.136583279,15.22669813,89.69737478,39.60071342,187.0228157,83.35597338,16.04200619,22.7,6.6
Jordan,MENA,JOR,171.1468928,282.6699545,46.30283869,322.5786713,23.93816427,40.2485218,54.67760674,27.12936116,138.4602025,294.1904192,36.70966642,29,15.4
Kazakhstan,FSU,KAZ,59.10806623,156.9830552,208.7953862,506.7528251,37.1097747,44.68218441,97.42151911,31.78931276,100.4391087,55.11731448,7.372502969,26.4,6.6
Kenya,SSA,KEN,104.9954323,246.9442197,89.80525083,248.6335314,12.70528314,0.904731057,14.76664327,3.545412556,102.0617897,26.06468572,15.73181543,23.3,4
Kiribati,Asia,KIR,97.97045363,38.10873363,27.03525057,478.9608331,35.65622561,32.22546725,36.36993741,33.49877822,140.1149854,88.51955212,9.816759077,30.1,22.1
Kuwait,MENA,KWT,56.93515683,117.853604,377.1605735,283.1200539,19.90739794,37.50258959,26.42883946,43.89821834,50.50650633,396.3146555,27.30992629,29.6,24.9
Kyrgyzstan,FSU,KGZ,74.85924622,87.8752066,136.6801193,225.2348117,46.63492117,25.73865764,39.28932682,14.73812837,22.75842284,182.782215,11.30129189,26.6,6.6
Laos,Asia,LAO,119.1101062,138.2241475,10.01397175,701.1617928,1.772556191,19.59300415,41.02877978,18.85197851,191.3733196,64.27320336,1.665723477,22.9,6.2
Latvia,FSU,LVA,59.10109465,109.0731141,154.6964477,35.02668578,71.99656278,59.72484511,203.228214,30.82222632,193.3321003,42.26261942,20.12488519,26.7,5.9
Lebanon,MENA,LBN,227.2864172,140.2977828,79.68344573,454.1233534,25.55029356,11.2883174,24.11417373,16.5058922,41.19260029,258.0935444,16.91814954,27.6,8
Lesotho,SSA,LSO,68.90879418,350.6852476,95.14383172,204.8565001,60.08790623,5.040353262,25.44288688,8.629577706,765.014096,426.306738,13.91574208,24.9,4.6
Liberia,SSA,LBR,49.57878222,121.4035094,37.72913765,347.8022111,10.67852018,45.92967631,24.53839282,8.483722504,205.8078246,269.8276027,17.94980185,24.1,2.1
Libya,MENA,LBY,52.71599316,111.8645509,98.78967308,440.323008,14.8206337,16.40753222,36.83446001,29.0763642,105.9394135,234.1869689,24.30236896,28.1,8.7
Lithuania,FSU,LTU,69.36158844,91.6938988,100.6763964,22.72888145,14.05288286,44.68830445,144.1367552,47.10855819,233.9478084,48.34024226,32.81596287,26.4,5.8
Luxembourg,HIC,LUX,85.93421675,195.5844428,139.9562323,149.6321659,30.67459156,95.29174586,98.01908218,32.84524313,289.8642334,126.996722,39.7711366,26.3,5.9
Madagascar,SSA,MDG,89.63510645,191.0532095,58.42281802,332.6831568,23.54127646,6.710734417,27.11728159,3.567087963,189.4069371,135.3255574,7.35449718,21.3,4.6
Malawi,SSA,MWI,113.6981392,130.5037999,103.741828,299.4808785,62.30275915,6.953901879,14.00786609,4.66932894,41.39326899,33.40732294,9.414916096,22.9,7.3
Malaysia,Asia,MYS,106.5029428,95.35085381,52.91170151,532.4992396,18.32332,17.55517052,20.79496655,24.88305894,83.75633256,94.52899127,22.58935838,25.7,19
Maldives,SAARC,MDV,230.4461371,233.3223578,86.49292354,454.9724174,143.0390002,15.98111983,29.90365905,15.98993719,237.7366878,126.7762586,3.077993423,25.5,9.2
Mali,SSA,MLI,70.01964596,165.8869594,56.50281028,180.09978,56.8680979,11.41604876,20.4346333,3.986394425,298.4916075,61.92836562,17.31314577,23,2.1
Malta,HIC,MLT,132.7766195,90.34267663,58.22494893,353.1470712,86.0302776,37.72818439,61.9711007,12.47108915,94.49917189,225.7701106,81.0765111,27.1,8
Marshall Islands,Asia,MHL,112.4361816,166.4287108,37.96021682,563.2909343,12.42983465,13.82192078,34.22237493,23.73587345,310.2496045,130.7050263,10.02711234,29.6,23
Mauritania,SSA,MRT,34.82230986,177.7989238,44.1323515,307.1680699,26.13738291,44.50188694,18.51122331,10.29301294,96.07214319,295.5823254,21.63741189,24.9,2.1
Mauritius,SSA,MUS,76.75791156,194.0490178,91.42510642,166.7792486,74.99240662,37.97876315,45.33274402,18.48911339,28.99733458,672.852564,19.32419247,25.2,22.6
Mexico,LAC,MEX,149.8423058,186.0808096,220.3637368,83.60109403,4.660909448,18.33942297,47.12591795,36.52300332,78.55592386,321.2831506,9.193532218,28,16.9
Micronesia (country),Asia,FSM,145.3753753,150.8116684,26.21423984,476.2255131,34.32186052,30.92886509,34.50513557,32.31128386,70.81177735,147.6608509,9.067883911,29.7,15.6
Moldova,FSU,MDA,98.3100922,91.03755265,116.1635358,124.9279183,61.47747595,67.87552843,92.91379721,28.74692166,39.07191831,25.16141511,30.9247123,27,5.6
Mongolia,FSU,MNG,48.70778983,90.03508959,166.0455944,212.7792555,100.8398601,120.7164228,82.09038136,103.4175856,30.32495139,119.5494226,45.00705686,26.2,6.9
Montenegro,FSU,MNE,245.3902623,174.1751986,358.5007063,101.7356706,192.0978704,65.11474276,205.5501179,29.65191236,267.4590493,75.71066346,20.05641633,26.5,9.1
Morocco,MENA,MAR,96.23003144,135.5201471,97.48899411,551.4063595,23.91295457,26.19375686,26.30471845,32.16969725,215.9452363,193.8305781,22.80703225,26,9.1
Mozambique,SSA,MOZ,102.2970582,171.1995573,55.94139287,242.2490727,17.19795589,5.219318277,19.81854593,12.40094982,78.18843399,68.85700135,9.84266264,22.8,3.3
Myanmar,Asia,MMR,79.47381823,138.5449063,39.21161733,442.7986338,22.88233248,39.67583464,102.6559947,45.13875813,566.4668607,129.7377784,8.816136955,22.6,7.1
Namibia,SSA,NAM,255.0143907,223.3848941,72.24432,188.0168551,54.08336799,8.438450084,24.81668692,10.522442,66.37014315,414.2847531,17.08217088,24.2,6.7
Nepal,SAARC,NPL,37.88534097,182.7512975,141.590057,454.0540897,61.99642522,0.834273549,12.17515511,5.487959768,329.980103,58.1902929,1.492472287,22.5,8.7
Netherlands,HIC,NLD,106.2409303,173.9504342,42.94401568,84.83310848,84.52550165,22.55257158,45.39743019,9.532645114,291.9423147,109.7197654,52.78433018,25.6,4.5
New Zealand,HIC,NZL,152.8819875,163.5113513,115.7684171,93.58880905,63.10004783,32.54666627,52.78802692,17.45967772,219.8685859,67.36526795,46.98201361,28,6.2
Nicaragua,LAC,NIC,156.5097627,151.4183546,104.9635075,229.8024045,29.49453803,49.88253333,37.59320534,26.4110545,339.6593574,420.9474406,28.92375132,27.2,9.3
